fraction	read_pairs	cs_families	ss_families	ds_families	ds_duplexes	ds_fraction_duplexes
1.0	10929301	5374255	6599572	5048943	97	1.9211941984688676e-05
0.7278953843983146	7955807	4078565	5021612	3847107	96	2.4953815945332428e-05
0.5298316906283708	5789484	3074374	3795632	2909345	93	3.196595797335826e-05
0.38566204211634725	4213411	2307532	2858951	2189824	92	4.201250876782792e-05
0.2807216203941176	3067041	1727688	2150041	1643544	90	5.475971437332983e-05
0.20433597178569418	2230962	1291539	1616456	1231493	90	7.308202320273035e-05
0.14873521072935117	1623228	965911	1217425	922897	89	9.643546354576946e-05
0.1082636733874054	1182010	724360	921522	693624	88	0.00012686988916185137
0.07880462815669913	860578	544611	701173	522869	86	0.00016447714437076974
0.05736152510448681	626326	410406	535886	395018	79	0.0001999908864912485
0.041753189365604	456184	310856	412672	300082	72	0.00023993441792576696
0.03039195382313198	332149	236042	319283	228570	66	0.00028875180469877936
0.02212216291070448	241650	179169	247061	174186	62	0.0003559413500510948
0.01610262027560939	175918	136203	191520	132908	54	0.0004062960845095856
0.011721022975334805	128268	103530	148381	101403	49	0.0004832204175418873
0.008531678524172805	93410	78378	114263	77051	40	0.000519136675708297
0.006210169418915616	67812	59000	87363	58210	35	0.0006012712592338086
0.004520353656360241	49611	44380	66506	43892	27	0.0006151462681126401
0.0032903445623126675	36093	33136	50186	32865	21	0.0006389776357827476
0.002395026619987486	26250	24604	37559	24442	19	0.0007773504623189592
0.0017433288221999873	19120	18200	28008	18108	11	0.0006074663132317208
0.0012689610031679222	13847	13363	20642	13313	10	0.0007511454968827461
0.0009236708571873865	10067	9781	15178	9754	7	0.0007176542956735698
0.0006723357536499335	7249	7089	11067	7073	6	0.0008482963381874735
0.0004893900918477494	5274	5185	8113	5175	4	0.0007729468599033816
0.0003562247890262444	3856	3811	5964	3806	2	0.0005254860746190226
0.0002592943797404667	2759	2739	4286	2734	2	0.000731528895391368
0.00018873918221350977	2029	2015	3160	2011	1	0.0004972650422675286
0.00013738237958832623	1459	1450	2272	1447	1	0.000691085003455425
0.0001	1064	1061	1667	1060	1	0.0009433962264150943
