fraction	read_pairs	cs_families	ss_families	ds_families	ds_duplexes	ds_fraction_duplexes
1.0	20530914	12640582	14241884	12255352	31	2.5295071084045565e-06
0.7278953843983146	14943830	9582145	10820690	9318007	31	3.3268916840264234e-06
0.5298316906283708	10876811	7200716	8148147	7017807	31	4.417334361004798e-06
0.38566204211634725	7916799	5377204	6097692	5249550	30	5.714775552190188e-06
0.2807216203941176	5762969	3997897	4545332	3908372	30	7.675830243385225e-06
0.20433597178569418	4193276	2962649	3377996	2898966	30	1.0348517367916698e-05
0.14873521072935117	3052228	2192009	2508681	2146605	29	1.3509704859534008e-05
0.1082636733874054	2221816	1621208	1864774	1588709	28	1.762437299719458e-05
0.07880462815669913	1617333	1199262	1388316	1176104	28	2.3807418391570813e-05
0.05736152510448681	1177585	888528	1036926	871914	28	3.2113258876448824e-05
0.041753189365604	856941	659375	777289	647513	28	4.324237505656257e-05
0.03039195382313198	624310	490729	585526	482283	27	5.598372739657006e-05
0.02212216291070448	454594	365872	442974	360033	27	7.499312563015057e-05
0.01610262027560939	330792	272852	335570	268874	22	8.182271249730356e-05
0.011721022975334805	240984	204070	255228	201435	18	8.935885024946012e-05
0.008531678524172805	175594	152682	194218	151047	16	0.00010592729415347541
0.006210169418915616	127461	113715	146879	112712	15	0.00013308254666761303
0.004520353656360241	92948	84760	110967	84153	13	0.0001544805295117227
0.0032903445623126675	67597	62826	83213	62468	12	0.00019209835435743102
0.002395026619987486	49107	46374	62026	46172	8	0.00017326518236160444
0.0017433288221999873	35830	34273	46287	34163	5	0.00014635717003776014
0.0012689610031679222	25978	25117	34105	25065	4	0.00015958507879513265
0.0009236708571873865	18880	18413	25118	18386	4	0.00021755683672359405
0.0006723357536499335	13608	13363	18295	13348	3	0.00022475277195085406
0.0004893900918477494	9899	9768	13418	9760	3	0.0003073770491803279
0.0003562247890262444	7253	7178	9881	7175	1	0.00013937282229965157
0.0002592943797404667	5208	5170	7145	5168	1	0.0001934984520123839
0.00018873918221350977	3778	3762	5173	3761	0	0.0
0.00013738237958832623	2714	2709	3699	2709	0	0.0
0.0001	1990	1987	2713	1987	0	0.0
