fraction	read_pairs	cs_families	ss_families	ds_families	ds_duplexes	ds_fraction_duplexes
1.0	27508821	13978268	16364062	13148938	208	1.5818768025219983e-05
0.7278953843983146	20022624	10631689	12481340	10042415	205	2.0413416493940948e-05
0.5298316906283708	14572627	8024838	9445286	7605919	203	2.6689739924919002e-05
0.38566204211634725	10608446	6025326	7107337	5726438	200	3.4925725206489616e-05
0.2807216203941176	7721827	4505552	5327265	4292227	196	4.5663940886630644e-05
0.20433597178569418	5618265	3359562	3982846	3207228	193	6.017657615860176e-05
0.14873521072935117	4089719	2502554	2977201	2393650	192	8.02122281870783e-05
0.1082636733874054	2977426	1864407	2227396	1786236	189	0.00010580908681719548
0.07880462815669913	2167250	1389032	1668526	1332805	187	0.00014030559609245162
0.05736152510448681	1576933	1036477	1253630	995950	180	0.00018073196445604698
0.041753189365604	1148022	774913	946227	745851	178	0.00023865356485410624
0.03039195382313198	835682	580958	717607	559988	176	0.0003142924491239098
0.02212216291070448	608454	437365	548146	422537	172	0.0004070649434250728
0.01610262027560939	442593	329798	420650	319365	166	0.0005197814412975748
0.011721022975334805	322531	249503	324492	242397	157	0.0006476977850385937
0.008531678524172805	235039	188979	250495	184202	148	0.0008034657604151964
0.006210169418915616	170903	142731	192804	139550	126	0.0009029021855965604
0.004520353656360241	124650	107667	148138	105692	115	0.0010880672141694735
0.0032903445623126675	90735	80842	112963	79616	99	0.0012434686495176848
0.002395026619987486	65980	60307	85394	59606	80	0.001342146763748616
0.0017433288221999873	48113	44901	64301	44479	61	0.0013714337102902494
0.0012689610031679222	34913	33112	47879	32871	51	0.0015515195765264216
0.0009236708571873865	25362	24365	35472	24240	43	0.0017739273927392738
0.0006723357536499335	18404	17870	26204	17807	35	0.0019655191778514066
0.0004893900918477494	13380	13088	19279	13067	31	0.0023723884594780745
0.0003562247890262444	9755	9603	14181	9596	23	0.0023968320133388914
0.0002592943797404667	7041	6951	10320	6946	20	0.0028793550244745176
0.00018873918221350977	5135	5088	7548	5085	16	0.003146509341199607
0.00013738237958832623	3708	3685	5460	3683	14	0.0038012489818083084
0.0001	2705	2689	3991	2690	10	0.0037174721189591076
